Distance,HSR,AccelMetres,EWMA_Distance,EWMA_HSR,EWMA_AccelMetres,EWMA_AccelLoadTotal,EWMA_AccelLoadDensity,InjuredNextWeek
2891.2475,27.49,60.295,3065.085926,36.70722222,68.74935185,1150.40963,0.346296296,0
3279.0475,203.38,72.945,4140.770833,299.9938889,123.3885185,1277.245463,0.3325,1
2300.56,59.46,68.29285714,2749.131652,77.16558652,80.09988791,1004.974559,0.378210073,0
3404.6425,44.61,64.9775,3457.8225,112.9957407,84.54083333,1249.758981,0.343796296,0
4342.9525,123.54,105.545,4708.67463,130.0168519,118.8293519,1696.555278,0.37962963,0
4339.196667,164.4733333,114.8866667,4407.342593,224.674963,154.7407407,1601.202,0.386444444,0
3234.3775,91.4525,79.4475,3268.980093,81.80574074,84.21240741,1186.782315,0.340648148,0
5854.44,334.4,195.9633333,5384.622296,291.3367407,177.984963,1872.239926,0.40562963,1
3665.265,202.1725,100.3875,4336.434444,114.5461111,95.81287037,1591.61287,0.345,0
4881.555,234.8775,99.2375,4831.804167,231.8338889,115.6312037,1448.643241,0.315555556,1
2835.0825,37.2725,74.515,3160.639259,48.92611111,83.18564815,1132.456759,0.328240741,0
5033.0725,391.8,158.1025,4379.187222,334.5426852,145.645463,1434.273333,0.345555556,0
4784.9975,205.1225,187.6,4371.494074,251.8868519,164.7725,1563.081019,0.363240741,0
2382.485,32.215,34.6475,3132.29713,44.18342593,62.69657407,1133.572315,0.326296296,0
5115.176667,22.10333333,112.1966667,4542.521778,52.16377778,93.84274074,1583.971926,0.349777778,0
2995.62,9.5,38.96,3044.396,9.102,35.74,1043.488,0.296,0
3866.555,130.93,83.25,4555.476667,205.945,94.92833333,1536.693333,0.396666667,0
1192.02,46.34,40.85,3338.838,83.788,87.776,1190.088,0.346,0
5938.1,312.27,137.295,4878.675,230.1233333,103.4533333,1592.826667,0.365,0
4471.445,75.185,113.015,3505.238333,128.0383333,82.34166667,1236.713333,0.333333333,0
1892.826,174.992,50.422,2232.21962,185.3007753,70.64269136,719.7859704,0.325481481,0
1617.768333,65.12333333,37.95666667,2042.315072,68.10270436,47.06820624,735.4413066,0.29315543,0
2709.838,194.402,100.96,2765.538256,198.485715,94.40055175,906.74102,0.345292181,0
1647.598,29.614,20.246,2045.84546,44.98320553,38.82909593,712.2106704,0.304984134,0
2762.155,155.1683333,71.62833333,2893.229193,147.6755555,71.44014251,1026.203992,0.353288032,0
2468.223333,77.86333333,52.91,2929.981707,90.17811936,68.56651899,1042.980755,0.355248099,0
2288.203333,111.7233333,64.45,2831.685816,146.0140898,78.59831327,995.3116415,0.40538485,0
1941.042,70.314,44.162,2525.484785,85.03444018,61.6089993,943.5213237,0.309600793,0
1773.2775,72.005,44.465,3410.944174,189.8609122,104.290192,1193.445971,0.326796982,0
2579.163333,46.14333333,54.44666667,2758.873548,90.71739471,65.026446,1024.054066,0.341433471,0
2624.803333,124.6916667,57.93,3380.735731,152.2330877,71.83610612,1006.750331,0.274899914,0
2385.786667,99.065,70.88333333,2679.514561,92.99011761,83.26053176,949.3240056,0.318223509,0
2651.046667,181.9683333,80.13,3447.239526,242.2602097,107.0621259,1148.474896,0.314342072,1
2595.518333,106.3783333,84.995,3390.545152,148.4614001,124.1253292,1284.575574,0.332917154,0
2353.053333,98.15333333,57.59,2632.138616,97.67348355,61.94481549,931.9120605,0.312641027,0
2107.773333,6.706666667,23.44333333,1980.179246,6.397928669,23.80375857,724.2956722,0.32239369,0
1561.66,25.47166667,31.64833333,2040.852158,21.7421422,35.9851829,684.1132305,0.249810242,0
2851.655,131.6966667,54.45166667,3232.671354,142.9403246,61.04785018,1087.546817,0.382328151,0
1779.705,82.81333333,42.60833333,2257.434456,88.38161408,52.75902835,771.2546662,0.333038409,0
3027.618333,181.1233333,80.02166667,3588.316289,201.4242448,87.1810692,1201.980499,0.360329218,0
1686.082,21.29,30.288,2564.410528,53.83414595,53.13533388,899.9026184,0.301018381,0
1789.7775,52.435,39.57,2238.689259,121.9010185,59.2787037,819.9609259,0.316296296,1
5152.756667,197.4433333,162.4133333,3571.743063,199.0088191,112.8846212,1239.881961,0.38134888,0
3941.2925,72.98,92.7375,2984.765991,63.06903556,69.01570397,1122.955206,0.311426991,0
4587.8,194.935,127.045,3298.95495,126.6685381,83.6606939,1220.155641,0.31887214,0
4488.3375,130.795,94.605,3789.983749,119.2553419,78.77718443,1396.262062,0.366977255,0
4774.3575,176.14,121.34,3771.009261,124.9996666,89.81708676,1397.142387,0.359689931,0
5590.11,349.3,165.6033333,3973.313694,233.0483071,122.6086428,1378.69569,0.425812269,0
4039.8025,106.98,97.3975,3341.786576,99.33168009,82.41404106,1238.084469,0.320867975,0
4895.533333,269.3233333,118.36,3598.836641,182.2770673,90.61561131,1250.068821,0.344426426,0
3701.42,110.874,91.45,3796.415158,98.45535352,90.48928129,1432.630133,0.339675083,0
3947.146667,111.58,53.19666667,3610.618074,128.3270426,62.90923977,1112.924221,0.28633565,0
3226.2525,125.225,96.855,2865.543962,99.69399766,84.56498177,1006.319569,0.304043947,0
4705.1825,275.295,149.49,3744.334558,222.4789508,112.9860511,1261.131648,0.331457245,0
4500.6525,230.4725,184.3975,3806.52374,180.6816434,144.955684,1401.519819,0.368486782,0
3861.4625,58.19,83.855,3301.934649,46.48444653,68.6440824,1197.012884,0.342447415,0
2864.86,15.83,52.14,4394.856889,33.57755556,96.84325926,1544.352741,0.312888889,0
4072.036667,25.52666667,68.06666667,3248.921087,15.2835078,50.64498176,1213.78019,0.310236041,0
3605.2475,38.29,73.0525,2830.242495,21.38646463,50.07968725,992.5675621,0.271277795,0
5496.5875,319.9975,103.9925,4372.088843,219.1230351,79.91773178,1489.135365,0.393998007,0
3850.66,120.4725,89.74,3202.858494,108.0940139,81.52083007,1118.080803,0.318534014,0
4579.325,221.985,129.7675,4018.880423,198.9989235,109.8878694,1346.487588,0.381609892,0
4288.066667,122.4533333,82.00333333,3147.177225,87.08019096,63.96908578,1103.698353,0.31731589,0
4130.99,133.43,126.12,3183.490497,119.7877851,92.82719159,1175.163551,0.32693187,0
4666.24,487.59,104.56,2441.654,193.716,52.04,853.818,0.368,0
2564.235,121.115,77.165,3179.541409,140.0960947,96.2679771,1087.862734,0.365092149,0
2506.068333,51.06666667,52.52166667,2661.373665,54.40950249,58.49586617,1013.92039,0.311720596,0
1978.045,66.915,55.19166667,2584.589577,98.69268063,69.72776224,938.1066171,0.305274342,0
3105.136,86.16,75.018,3272.155642,95.79939015,77.07307538,1223.911508,0.368367469,0
2836.064,153.452,81.746,3299.842065,155.259318,90.85411421,1225.13612,0.363945841,0
2572.162,94.086,66.606,3344.269118,165.3788069,93.60063838,1167.402463,0.389236445,0
1622.545,51.41166667,38.73166667,2196.538484,62.20151509,52.92091779,810.5557782,0.30336865,0
2087.4375,65.5075,31.5675,3046.910099,137.8155872,66.24357434,1049.317507,0.316147697,0
3879.655,142.11,76.39,3422.584207,123.2590055,75.54984335,1268.485405,0.299728822,0
3217.978,201.282,76.65,3112.102686,169.5862081,66.56766992,956.8087137,0.286784654,0
2070.558,93.848,56.848,2466.424901,104.3518924,70.19979353,837.8949134,0.266473054,0
2988.028,240.316,89.134,3470.127163,252.3706319,111.8525357,1166.825378,0.300670068,0
2242.733333,104.9833333,70.58333333,2856.84711,138.2593178,102.72058,1042.325508,0.352712699,0
2157.305,57.28,33.24,3011.398665,65.89044691,57.39846698,1078.610789,0.348105276,0
2002.688,178.284,63.098,2773.754574,114.2165172,73.569667,934.8559725,0.325941655,0
2395.605,12.55333333,32.07666667,2722.086128,16.43559821,39.32887167,1004.047423,0.31556202,0
2073.803333,60.01166667,42.02166667,2415.820476,59.41984378,51.95099272,834.4976029,0.272535025,0
2827.248333,232.4183333,77.275,3645.235372,275.7812371,89.75071512,1219.56115,0.381222979,0
3422.548333,151.525,104.9416667,3132.405365,132.1141296,90.00326678,1070.021803,0.335790186,0
3587.448333,217.7533333,87.69,3672.071239,211.1371453,97.62407591,1198.172112,0.373860107,0
1969.566,36.78,25.224,2521.432157,61.49740121,41.08460257,848.6045362,0.304561302,0
6064.35,537,188.72,5449.362,392.63,167.232,2005.848,0.4,0
3448.395,179.47,103.6,3436.202075,137.0623807,99.17766956,1269.640456,0.336672001,0
4686.84,291.24,120.69,3190.049333,226.224,74.92333333,1162.905333,0.398666667,0
2737.882,150.182,66.248,2748.960417,147.5971981,72.96070482,947.6722497,0.346795503,0
2659.121667,64.16833333,51.62833333,2706.55304,59.20422015,53.63147293,1017.916593,0.319689234,0
2301.35,95.23166667,53.92333333,2372.949675,89.46315943,60.31625073,833.102291,0.290979732,1
3127.545,68.46666667,66.56666667,3216.044478,80.62510554,70.33372622,1184.098906,0.358141581,0
2569.218333,106.1233333,73.93333333,2814.049185,125.228119,77.94121919,1047.479788,0.341033409,0
2913.55,185.2066667,111.655,2944.797599,163.9658425,99.78773601,1052.236454,0.379030893,0
2300.61125,118.3,63.01,2267.951102,106.3223728,58.65026286,788.9336533,0.323944756,0
2762.494,131.14,73.638,2731.871367,122.0016444,64.59260548,921.4153044,0.321508813,0
3063.194286,69.78428571,60.82285714,3167.453026,81.94361759,62.64849043,1154.037577,0.33770479,0
2811.418333,163.8016667,72.15333333,2885.485307,161.8595368,71.02880405,885.1593765,0.295336756,0
3215.284,81.512,86.014,2974.891526,92.32225744,81.82891931,1007.772877,0.297765999,0
2371.645714,118.1057143,84.01714286,2495.57939,121.305603,85.5822993,884.4228119,0.35122496,0
2248.646667,34.935,50.51333333,2341.633644,44.29844205,49.94258548,827.0045015,0.301139464,0
3571.106667,217.3766667,103.5566667,3217.667374,198.4702219,86.91364798,1042.789219,0.369324945,0
2636.778333,27.52,46.785,2508.635222,23.83983761,42.70698142,922.2067399,0.306062143,0
2231.018333,69.41166667,49.90833333,2242.205138,73.88205076,49.06915665,767.8060036,0.252069833,0
3041.113333,215.775,90.03833333,3058.275776,225.5606001,84.14041715,1027.352323,0.365662923,0
3058.126667,99.34166667,79.94,3162.683845,106.3297613,86.81632246,1103.901521,0.332698544,0
2959.092857,160.5542857,68.31714286,3158.864581,168.7193814,71.79789604,1039.934539,0.312306487,0
2521.486667,91.10333333,49.98666667,2269.266771,64.85828973,36.43260265,746.410488,0.291509353,1
5235.55,341.01,151.99,5378.091333,375.4233333,162.1513333,1957.222,0.38,0
2324.135,107.6925,80.9525,2621.476839,114.350116,81.96601122,982.4181095,0.305876198,0
2684.75,194.9,62.36,3021.616222,215.7826667,70.73555556,1088.770222,0.339111111,0
4645.555,240.87,115.235,3633.185604,200.658641,92.28424799,1240.804616,0.357226541,0
3824.146667,51.62333333,58.97,3359.178366,51.56226827,55.57532826,1309.574018,0.352624573,0
4079.78,137.88,112.985,3182.337174,108.990465,81.89623654,1200.336312,0.303498838,0
4558.293333,101.08,81.10666667,4212.627316,85.80042347,80.87103029,1605.6031,0.368041047,0
3211.255,189.455,102.34,3184.485585,171.7267713,100.1688301,1263.215329,0.313965209,0
4520.41,169.3375,135.0325,3777.540183,158.507767,120.5016775,1393.584175,0.414833199,0
1899.49,16.51,34.25,1984.8788,61.74501187,47.70322224,733.8800975,0.293933777,0
3684.79,181.03,74.66,3191.662988,153.8860341,71.78846297,1094.352312,0.367107062,0
4451.886667,131.07,82.33,3796.329573,100.2918102,71.24706187,1372.299513,0.364852088,0
4589.83,228.81,95.46,4015.349922,217.3271859,89.14369692,1227.792279,0.308878065,0
3448.86,425.4033333,120.24,3029.834897,228.2547418,91.02246649,1032.272966,0.310397205,0
3379.906,153.912,94.774,3205.195914,175.7486429,88.44478659,1104.573515,0.289084124,0
4012.12,180.64,139.4566667,2996.864561,141.5320904,105.2735131,1090.255939,0.321678831,0
3893.366667,75.85,58.67333333,3188.228444,53.75371843,55.02190928,1166.126677,0.341635822,0
3656.48,367.455,101.78,3214.944633,310.8724409,99.48438448,1078.684375,0.375049856,0
3031.513333,20.55,30.61666667,2961.429533,20.8480803,37.86138655,1074.575431,0.284944573,0
3256.15,116.0075,71.7275,2776.279198,85.92680515,58.26065349,975.9619983,0.269771248,0
4498.58,255.2333333,111.4633333,3856.326066,227.0548749,103.464836,1371.503391,0.392054519,0
4946.893333,152.1366667,136.8466667,4242.060006,134.6974245,116.5545989,1500.815582,0.366115076,0
5298.303333,296.2233333,111.4766667,4425.695165,264.8688018,99.72852525,1485.097366,0.362682746,0
3265.17,130.6566667,51.71,2855.793735,97.92282659,48.99669708,960.6390335,0.326249685,0
3935.8,285.37,119.89,4897.327556,345.4055556,148.0642222,1787.881333,0.373333333,0
1455.23,18.84,37.57,2374.161988,97.07644834,78.88674214,906.4114308,0.34572347,0
2423.121667,256.465,82.40833333,2890.355142,252.8223466,88.17388886,924.6980272,0.407494065,0
3402.363333,267.52,96.45,3237.404519,223.7617037,96.48037037,1076.602741,0.329777778,0
2504.41,56.34166667,53.32333333,2945.651044,56.34104146,56.43694004,1163.714709,0.334299186,0
2373.71,73.946,58.492,2718.423322,91.66079587,70.98398145,1031.780284,0.29844873,0
2529.013333,118.3766667,72.2,3144.371958,110.1611833,78.95017043,1219.385872,0.342639341,0
2711.944,177.502,84.112,2901.523258,178.5960718,92.70543389,1119.357202,0.365355064,0
3207.84,150.024,111.85,3760.195543,161.3504586,124.9533189,1360.121415,0.405041564,0
1390.93625,59.1375,30.32375,1501.125982,56.92022024,33.25800099,578.4745308,0.325279377,0
2769.174,166.84,93.348,3091.361669,166.9033527,88.89038668,1054.15477,0.375343737,0
2483.488333,49.31333333,51.96166667,2816.324548,66.39688171,56.96726154,1070.660981,0.325216222,0
2890.425,149.56,65.93833333,3351.248881,164.0351066,75.0742925,1019.881,0.310607585,0
1740.285,76.40666667,43.14833333,2362.612488,169.7780208,68.38096979,815.0521517,0.279861375,0
1836.28,118.039,59.79,2148.991885,130.3359144,66.8346843,754.9065688,0.326083814,0
2385.238333,103.9883333,72.685,2625.183004,113.9294389,83.19487448,981.1931958,0.325660772,0
2055.662,281.408,79.612,2828.573583,288.5755738,86.94859016,979.7624834,0.328350532,0
1888.648,16.166,33.914,2351.705121,16.90880436,36.80090411,871.6067228,0.285137506,0
2573.205,97.3725,69.1625,2674.960274,88.22668373,64.97127106,957.9421231,0.255232592,0
2696.106667,95.585,73.31333333,3190.183044,130.3981493,85.47546463,1126.761367,0.375328257,0
2617.51,74.045,78.55166667,3401.663746,96.64282271,94.39923938,1199.465016,0.365172991,0
3092.601667,195.1583333,89.325,3664.912471,210.6140063,91.77211047,1212.303008,0.372268749,0
2921.41,831.73,248.17,3020.4,431.082,183.104,919.236,0.336,0
1916.17,104.28,83.6,2221.497992,99.47763223,80.4578281,869.4342872,0.37714898,0
