PlayerName,Week,Distance,RunningDistance/Min,HSR,MaxSpeed,SprintMetres,AccelMetres,AccelLoadTotal,AccelLoadDensity,AccelLoadDensityIndex,RHIEfforts/Bout,EWMA_Distance,EWMA_RunningDistance/Min,EWMA_HSR,EWMA_MaxSpeed,EWMA_SprintMetres,EWMA_AccelMetres,EWMA_AccelLoadTotal,EWMA_AccelLoadDensity,EWMA_AccelLoadDensityIndex,EWMA_RHIEfforts/Bout,InjuredNextWeek
Athlete G,18,2288.203333,13.14,111.7233333,7.593333333,28.75,64.45,808.8466667,0.416666667,3.526666667,5.763333333,2831.685816,12.97454707,146.0140898,7.600968348,30.58819591,78.59831327,995.3116415,0.40538485,3.499963928,5.679796779,0
Athlete H,18,1941.042,7.286,70.314,6.434,5.018,44.162,739.624,0.294,3.808,5.098,2525.484785,7.750366529,85.03444018,6.689895504,7.019051181,61.6089993,943.5213237,0.309600793,3.779723335,5.194378601,0
Athlete I,18,1773.2775,6.575,72.005,7.07,23.4475,44.465,624.5875,0.29,3.46,4.815,3410.944174,9.168340192,189.8609122,7.681454047,47.34786351,104.290192,1193.445971,0.326796982,3.448305898,5.221364883,0
Athlete J,18,2579.163333,6.198333333,46.14333333,6.146666667,0,54.44666667,971.1016667,0.355,3.723333333,4.176666667,2758.873548,7.463516656,90.71739471,6.299323105,1.436672086,65.026446,1024.054066,0.341433471,3.669324121,4.586837034,0
Athlete K,18,2624.803333,8.288333333,124.6916667,8.071666667,44.27833333,57.93,775.5966667,0.278333333,2.878333333,4.093333333,3380.735731,8.193305983,152.2330877,8.049603804,45.80597377,71.83610612,1006.750331,0.274899914,2.903164067,4.191279277,0
Athlete L,18,2385.786667,8.083333333,99.065,6.171666667,0.468333333,70.88333333,825.4383333,0.33,3.536666667,3.943333333,2679.514561,8.217710545,92.99011761,6.151891903,0.406659808,83.26053176,949.3240056,0.318223509,3.573473048,4.175016342,0
Athlete M,18,2651.046667,9.315,181.9683333,7.898333333,56.95333333,80.13,876.0966667,0.315,3.25,4.328333333,3447.239526,9.457836627,242.2602097,7.880618385,63.68665701,107.0621259,1148.474896,0.314342072,3.278790665,4.905114142,1
Athlete N,18,2595.518333,9.161666667,106.3783333,6.773333333,15.72333333,84.995,979.9366667,0.345,3.711666667,4.83,3390.545152,9.205193907,148.4614001,7.0433291,21.39647293,124.1253292,1284.575574,0.332917154,3.716847279,4.948050771,0
Athlete O,18,2353.053333,8.61,98.15333333,6.15,0,57.59,813.1266667,0.33,3.576666667,4.016666667,2632.138616,7.819751224,97.67348355,6.117562194,0,61.94481549,931.9120605,0.312641027,3.653747058,3.83575014,0
Athlete Q,18,2107.773333,4.863333333,6.706666667,5.463333333,0,23.44333333,766.5666667,0.318333333,3.69,3.311666667,1980.179246,4.74973251,6.397928669,5.558415638,0,23.80375857,724.2956722,0.32239369,3.742475995,3.344019204,0
Athlete R,18,1561.66,5.306666667,25.47166667,5.646666667,0,31.64833333,518.6616667,0.235,3.416666667,2.688333333,2040.852158,4.870864198,21.7421422,5.650818473,0,35.9851829,684.1132305,0.249810242,3.410685871,2.979906264,0
Athlete S,18,2851.655,13.675,131.6966667,7.831666667,32.35833333,54.45166667,965.8983333,0.378333333,3.33,6.83,3232.671354,13.90699207,142.9403246,7.760084591,35.19163314,61.04785018,1087.546817,0.382328151,3.328492608,7.067325103,0
Athlete T,18,1779.705,8.871666667,82.81333333,7.118333333,16.07,42.60833333,594.1083333,0.321666667,3.345,4.278333333,2257.434456,9.176083676,88.38161408,7.178241884,17.57272977,52.75902835,771.2546662,0.333038409,3.386760402,4.425416095,0
Athlete U,18,3027.618333,10.52333333,181.1233333,7.85,39.39166667,80.02166667,1032.088333,0.37,3.331666667,5.136666667,3588.316289,10.60236702,201.4242448,7.954845298,51.39633211,87.1810692,1201.980499,0.360329218,3.289801097,5.179429965,0
Athlete V,18,1686.082,5.924,21.29,5.41,0,30.288,581.544,0.3,3.608,3.7,2564.410528,6.676938272,53.83414595,5.655745953,0.650655693,53.13533388,899.9026184,0.301018381,3.565790947,4.360024143,0
Athlete Z,18,1789.7775,8.44,52.435,5.6425,0,39.57,674.3075,0.3575,4.11,3.9075,2238.689259,8.72,121.9010185,6.237222222,9.492407407,59.2787037,819.9609259,0.316296296,3.873240741,4.384537037,1
